sentence,scoring
A black dog is drinking.,3
A toddler dressed only in a pamper is standing.,3
The boys are playing baseball.,3
Someone in a black jacket is driving a motorcycle.,3
Four men are playing hockey.,3
A man is doing tricks on a motorcycle.,3
A group of children is having a good time.,3
She gets ready to stay overnight inside the igloo.,3
He is riding an ATV.,3
The girls are laughing.,3
A boy is doing his homework.,3
The man is walking the bride down the aisle.,3
Three people are kayaking in dark waters.,3
A man is flipping in the air.,3
Two dogs are playing tug-of-war.,3
A dog is jumping into a pool.,3
A man stands at a podium.,3
A man is standing in front of a brick building.,3
Two women are embracing.,1
Men on bicycles are competing.,2
Families are waiting.,1
Two women are having drinks.,2
Two doctors perform surgery.,1
A dog jumps to catch a toy.,2
A man is playing golf outside.,2
The woman is walking.,1
He takes a picture.,1
A man is singing.,1
A pregnant lady is singing.,2
A boy is holding a toy.,2
A woman is writing something.,2
A girl swings high.,1
A man is sitting on the steps.,2
A person rides his bicycle.,2
A group of people prepares hot air balloons.,2
A group of young people are on stage.,2
The man in a shirt is playing guitar.,2
A woman is talking.,1
Women are doing some crafts.,2
A street performer is performing.,2
A young boy is playing.,2
People are throwing tomatoes.,1
A man and a woman are talking.,2
A woman and a man are talking.,2
Alex hopes that he is going to win.,2
Two men are cooking.,1
He was wandering.,1
A lady with dark hair is walking.,2
A lady is in a crowd walking.,2
A man is talking.,1
A boy reaches the top of a skateboarding ramp.,2
A man is waterskiing.,1
A group of children enjoys the park.,2
Many people are sitting.,1
A baby is being bathed.,2
A woman is sitting.,1
Number thirteen kicks a soccer ball.,2
A girl is taking a photo.,2
A man sits.,1
A child is jumping.,1
A guy is waxing.,1
This is the image of women squatting.,2
A man uses a projector.,2
An older gentleman is speaking.,2
A young girl is jumping.,2
This guy is with a gun.,2
A man with a safety suit is walking.,2
A man poses for a photo.,2
A man is reading.,1
The officer is on patrol.,2
A man stands on one foot.,2
A man wearing a white shirt is playing.,2
Two women in suits walk by.,2
Two people are waiting for a train.,2
A woman is smiling.,1
A goalie is running.,1
Two men are reading.,1
Kids are drawing something.,1
A young woman is singing.,2
An elephant is walking.,1
A diver is swimming.,1
A turtle is swimming.,1
Two little girls ride a blue water slide.,2
A woman walks by.,1
Two men are working.,1
A girl with blonde hair is holding a jacket.,2
A girl blows bubbles.,1
Two children are playing.,1
Two men are in a lab.,2
A man jumps down.,1
Two boys stand in an ocean.,2
The woman is doing yoga.,2
Girls are dancing.,1
Children are standing.,1
A child is looking.,1
A boy jumps over stairs.,2
A man wears a jacket.,2
People use clothespins to hang up laundry.,2
A dog reaches to catch a ball.,2
A young boy is in a tunnel.,2
The little boy is jumping.,2
Kids sit close to a television.,2
Company workers are having dinner.,2
The woman is talking.,1
Her friends is talking.,1
A girl gazes in a window.,2
People are on the street.,2
A person is writing.,1
A group of people gathers.,2
The pianist plays the supporting melody.,2
A woman is holding.,1
A boy is holding kites.,2
She stands.,1
He is swimming.,1
A Hispanic market has many fruits.,2
A market has many vegetables and fruits.,2
A woman with an umbrella is jumping.,2
A girl in winter clothes looks up.,2
A man is trying to score a goal.,2
A dog leaps into the air.,2
A man is standing.,1
Children dressed in winter clothes are walking.,2
A man is sitting outside wearing pants.,2
A man wearing pants is sitting outside.,2
She is looking.,1
Players are on a field.,2
A baby looks at her fingers.,2
A couple is looking.,1
Two people are sitting.,1
Women are walking.,1
A man is looking into a microscope.,2
They walk past a temple.,2
A man is eating.,1
A man is shaving.,1
A young man is walking.,2
A woman hands a plate to another woman.,2
They are cooking dinner.,1
They are home cooking dinner.,2
Kathy is walking by herself.,2
A man is playing the violin.,2
Two kids are standing in the ocean.,2
People are watching balloons.,1
A dog licks.,1
They are dancing together.,1
A girl is building a house.,2
A girl sits.,1
A woman stands on a beach.,2
People are shopping at a store.,2
A child holds a football and runs.,2
A boy is sitting.,1
A boy is jumping.,1
A boy is walking away from tents.,2
A kid is wearing a vest.,2
Basketball players are standing on a court.,2
A girl is lying on the floor.,2
A man is holding a baby.,2
A woman rock-climbs.,1
A blond woman stands in front of a car.,2
A musical group performs on a carpet.,2
A woman is working on papers.,2
Three workers are trimming.,1
People sit around a bar.,2
The officers stand in front of the crowd.,2
A construction worker is standing.,2
A man is jumping.,1
A man is walking down the sidewalk.,2
Young players are playing polo.,2
A sidewalk vendor sells corn.,2
Many runners are running.,1
A man is grilling fish.,2
A girl is lying on her back.,2
A girl is running towards a court.,2
They are standing.,1
Many children are playing.,1
A dog jumps over an obstacle.,2
A woman is playing with her kid.,2
A group of people is gathered.,2
A woman is standing.,1
A man is playing an instrument.,2
A woman is bicycle racing along a track.,2
A little boy is playing.,2
A woman is holding a baby.,2
Men wrestle on the floor.,2
Two black dogs are playing on the grass.,2
Two men are practicing arts.,2
He is playing.,1
A woman is wearing a dress.,2
They are doing maintenance.,1
A man is climbing.,1
A girl runs with her barefoot.,2
Two men are climbing.,1
A woman is being photographed.,2
A dog is drinking.,1
A toddler dressed in a pamper is standing.,2
The boys are playing.,1
Someone in a black jacket is driving.,2
Four men are playing.,1
A man is doing tricks.,2
She gets ready to stay overnight.,2
He is riding.,1
The man is walking.,1
People are kayaking in dark waters.,2
A man is flipping.,1
Two dogs are playing.,1
A dog is jumping.,1
A man stands.,1
Two women are embracing while holding packages.,2
Two men are competing.,1
Families are waiting in line.,2
Two women are at the bar.,2
Doctors perform surgery on a patient.,2
A dog jumps.,1
A man is playing.,1
The woman wearing the headscarf is walking.,2
He takes a picture in the street.,2
A pregnant lady is on stage.,2
A boy in a shirt is holding a toy.,2
A woman is writing on a post-it note.,2
A girl swings in the air.,2
A man is sitting outside.,2
A group of people prepares balloons for takeoff.,2
A group of people are on stage.,2
The man in a shirt is playing.,2
Two women are doing crafts.,2
A performer is performing.,1
A boy is playing in the grass.,2
People are throwing.,1
A man and a woman are in a park.,2
A woman and a man are in a park.,2
He is going to win the race.,2
Two men are cooking on the corner.,2
A lady is walking in a crowd.,2
his friend is talking.,1
A boy reaches the top of a ramp.,2
A man is waterskiing with a jacket.,2
A group of children enjoys their time.,2
Many people are on the grass.,2
A woman is sitting outside.,2
Number thirteen kicks a ball towards the goal.,2
A man sits in front of a display.,2
A child is jumping into a man.,2
A guy is waxing a wooden floor.,2
This is the image.,1
An older gentleman is at a podium.,2
A young girl is outside.,2
This guy is with army gear.,2
A man with a suit is walking outside.,2
A man is reading a newspaper.,2
A man is playing the drums.,2
Two women walk by a building.,2
Two people are waiting.,1
Two men on a subway are reading.,2
Kids are drawing.,1
A woman is singing into a microphone.,2
Two little girls ride down a water slide.,2
A woman walks by a building.,2
Two men are on computers.,2
A young girl is holding a jacket.,2
Two children are on the floor.,2
Two boys stand as the sun sets.,2
Children are in a classroom.,2
A boy jumps.,1
People use clothespins.,1
A dog reaches a ball with its mouth.,2
A boy is in a green tunnel.,2
The boy is jumping into a puddle.,2
Workers are having dinner together.,2
A girl gazes in a store window.,2
People are dressed in costumes.,2
The pianist plays on stage.,2
A child is holding.,1
He is in a pool.,2
A Hispanic market has many vegetables.,2
A woman is jumping in the air.,2
A girl looks up in the sky.,2
A dog leaps into the air in a field.,2
Children are walking through the woods.,2
A man wearing pants is outside.,2
People are sitting on horses.,2
A man is in a lab.,2
A man in a shirt is eating.,2
A man is walking a dog.,2
A woman hands food to another woman.,2
They are cooking.,1
Kathy is walking.,1
Two kids are standing.,1
People are watching.,1
They are dancing.,1
A woman stands on a beach and performs.,2
People are shopping.,1
A child holds a football.,2
A boy is walking away.,2
Basketball players are standing.,1
A young girl is lying.,2
A woman stands in front of a car.,2
A group performs on a carpet.,2
A woman is working.,1
Workers are trimming.,1
People sit.,1
The police officers stand in front of the crowd.,2
A worker is standing.,1
A man is walking.,1
Young players are playing.,1
A vendor sells corn.,1
Runners are running.,1
A girl is lying.,1
A girl is running.,1
They are in the snow.,2
Children are playing.,1
A woman is playing.,1
A group of people gathered outside.,2
A woman is bicycle racing.,2
A boy is playing.,1
A girl and her boyfriend are sitting.,2
Two black dogs are playing.,2
Men are practicing arts.,1
A girl runs.,1
Men are climbing.,1
A toddler is standing.,1
Someone is driving.,1
Men are playing.,1
People are kayaking.,1
Dogs are playing tug-of-war.,1
A man is standing in front of a building.,2
Women are embracing while holding to-go packages.,2
Men are competing.,1
Families are at an amusement park.,2
Women are having drinks.,1
Doctors perform surgery.,1
A dog with long hair jumps.,2
A man is playing golf.,2
A lady is singing.,1
A man is sitting.,1
The man is playing.,1
A performer is performing outside.,2
People are throwing at each other.,2
He is going to win.,2
Men are cooking on the corner of the street.,2
A lady is walking.,1
Many people are on the grass sitting.,2
A woman is outside.,1
Number thirteen kicks a ball.,2
A guy is waxing a floor with wax.,2
A girl is jumping outside.,2
A man with a suit is walking.,2
A man is reading a newspaper in a car.,2
A man stands near a beach.,2
Women in suits walk by a building.,2
People are waiting for a train at a station.,2
kids are drawing on paper.,2
A woman is singing.,1
Two little girls ride a water slide.,2
A girl is holding a jacket.,2
A boy jumps over.,1
People hang up laundry outside.,2
A dog reaches a ball.,2
A boy is in a tunnel.,2
The boy is jumping.,1
Workers are having dinner.,1
A market has many fruits and vegetables.,2
A woman is jumping.,1
A girl looks up.,1
Children are walking.,1
A man is wearing brown pants.,2
A man wearing brown pants is outside.,2
A woman hands a plate of food.,2
They are cooking at home.,2
Kathy is walking in a city.,2
Two kids are hugging each other.,2
They are on the street.,2
A woman stands.,1
People are at a grocery store.,2
A child runs from other children.,2
A boy is behind him.,2
Players are standing on a basketball court.,2
A woman stands in front of a luxury car.,2
A group performs on a green carpet.,2
A woman is at her desk.,2
Workers are trimming down trees.,2
A worker is standing on a crane.,2
Players are playing water polo.,2
A vendor sells grilled corn.,2
Runners are running around the track.,2
Children are playing on a playground.,2
A woman is in the backyard.,2
A group of people gathered.,2
A woman is racing along a dirt track.,2
Men are practicing martial arts.,2
Men are climbing stairs.,1
Someone is driving a motorcycle.,2
Men are playing hockey.,1
Three people are kayaking.,1
Dogs are playing.,1
Women are embracing while holding packages.,2
Families are waiting at an amusement park.,2
Women are at the bar.,2
A man is playing outside.,2
A lady is on stage.,2
The man is playing guitar.,2
Women are doing crafts.,1
A street performer is outside.,2
He is going to the race.,2
Men are cooking.,1
A lady with dark hair is in a crowd.,2
People are sitting on the grass.,2
A woman is sitting outside an outdoor stall.,2
Number thirteen kicks towards the goal.,2
A guy is waxing a floor.,2
A girl is jumping.,1
A man with a suit is outside.,2
A man wearing a shirt is playing the drums.,2
Women in suits walk by.,2
People are waiting for a train.,2
Two men are sitting on a subway.,2
Two girls ride down a blue water slide.,2
People hang up laundry.,1
Company workers are together.,1
A market has many fruits.,2
A man is wearing pants.,2
A man wearing brown pants is sitting.,2
A woman hands food.,1
They are at home.,1
Two kids are hugging.,1
They are dancing on the street.,2
A woman performs yoga.,1
Players are standing on a court.,2
A young girl is on the floor.,2
Players are playing polo.,1
A kid is playing in the backyard.,2
A woman is racing along a track.,2
Black dogs are playing.,1
Three people are kayaking in waters.,2
Women are embracing.,1
A man in a red shirt is playing.,2
A lady is singing on stage.,2
A performer is outside.,1
Alex is going to win the race.,2
Men are cooking on the corner.,2
A lady is in a crowd.,2
People are sitting.,1
A woman is outside an outdoor market stall.,2
A girl is outside.,1
A man with a safety suit is outside.,2
A man is reading in a car dealership.,2
A man wearing a shirt is playing.,2
Two women walk by.,1
People are waiting.,1
Two girls ride a blue water slide.,2
workers are together.,1
A market has many vegetables.,2
They are home.,1
Kids are hugging.,1
A woman performs yoga on a beach.,2
People are at a store.,2
Players are standing.,1
A girl is on the floor.,2
Players are playing.,1
A kid is in the backyard.,2
A woman is racing.,1
Black dogs are playing on the grass together.,2
People are kayaking in waters.,2
A man in a red shirt is playing golf.,2
A lady is on stage singing.,2
Alex is going to win.,2
People are on the grass sitting.,2
A woman is outside an outdoor stall.,2
A girl is outside jumping.,2
A man is reading in a car.,2
Women walk by.,1
Two people are waiting at a station.,2
Two girls ride a water slide.,2
Two dogs are playing on the grass together.,2
A man in a shirt is playing golf outside.,2
A man is in a car.,2
Little girls ride down a water slide.,2
A man in a shirt is playing outside.,2
A man is in a car reading a newspaper.,2
Little girls ride a blue water slide.,2
Black dogs are playing on the grass.,2
A man in a shirt is playing golf.,2
Little girls ride a water slide.,2
Two dogs are playing on the grass.,2
A man in a shirt is playing.,2
